t,ev_x,ev_y,goal_x,goal_y,pursuer_x,pursuer_y
0.0,78.1309,77.1483,50.0,50.0,89.0331,10.1336
0.1,77.6853,75.9761,50.0,50.0,88.8701,11.0187
0.2,76.6366,75.741,50.0,50.0,88.7005,11.9026
0.3,76.3376,75.3376,50.0,50.0,88.5244,12.7852
0.4,76.5151,74.5762,50.0,50.0,88.3421,13.6665
0.5,75.9521,73.1238,50.0,50.0,88.1536,14.5466
0.6,75.4667,72.8728,50.0,50.0,87.9589,15.4253
0.7,75.6265,72.3317,50.0,50.0,87.7581,16.3026
0.8,75.6215,71.4591,50.0,50.0,87.5508,17.1784
0.9,75.4979,70.9555,50.0,50.0,87.337,18.0526
1.0,74.8114,70.2661,50.0,50.0,87.1164,18.9252
1.1,75.0017,69.3008,50.0,50.0,86.8886,19.7959
1.2,74.0858,68.2377,50.0,50.0,86.6534,20.6646
1.3,74.0764,67.4854,50.0,50.0,86.4103,21.5311
1.4,74.152,67.168,50.0,50.0,86.1588,22.3953
1.5,73.1312,65.7893,50.0,50.0,85.8985,23.2568
1.6,72.7917,65.4309,50.0,50.0,85.6287,24.1154
1.7,72.4016,64.5101,50.0,50.0,85.3489,24.9708
1.8,72.9466,63.6498,50.0,50.0,85.0584,25.8226
1.9,72.747,62.7728,50.0,50.0,84.7563,26.6704
2.0,72.2324,62.0129,50.0,50.0,84.442,27.5138
2.1,72.2412,61.7232,50.0,50.0,84.1146,28.3521
2.2,71.6151,60.8058,50.0,50.0,83.7731,29.1848
2.3,71.0287,60.5061,50.0,50.0,83.4166,30.0112
2.4,70.6511,59.3556,50.0,50.0,83.044,30.8304
2.5,70.0653,58.6422,50.0,50.0,82.6543,31.6417
2.6,70.055,58.3914,50.0,50.0,82.2461,32.4438
2.7,69.4866,57.4343,50.0,50.0,81.8184,33.2357
2.8,69.2896,56.4083,50.0,50.0,81.3698,34.0159
2.9,68.9318,56.2404,50.0,50.0,80.8991,34.783
3.0,68.5373,55.6106,50.0,50.0,80.4049,35.5352
3.1,67.9598,54.1844,50.0,50.0,79.886,36.2705
3.2,67.5282,53.7844,50.0,50.0,79.3413,36.9869
3.3,66.839,53.2018,50.0,50.0,78.7695,37.682
3.4,66.4351,52.7995,50.0,50.0,78.1698,38.3531
3.5,66.1489,52.6494,50.0,50.0,77.5415,38.9974
3.6,65.2953,51.0376,50.0,50.0,76.8842,39.6123
3.7,64.7615,50.864,50.0,50.0,76.198,40.1945
3.8,64.7242,50.3765,50.0,50.0,75.4832,40.7415
3.9,63.6075,50.1841,50.0,50.0,74.7409,41.2504
4.0,63.3393,49.7003,50.0,50.0,73.9725,41.7189
4.1,62.5461,48.9092,50.0,50.0,73.1799,42.1454
4.2,62.1118,48.1917,50.0,50.0,72.3656,42.5287
4.3,61.3981,48.1383,50.0,50.0,71.5322,42.8685
4.4,59.8662,47.5068,50.0,50.0,70.6827,43.1654
4.5,59.7651,47.1432,50.0,50.0,69.8197,43.4211
4.6,59.3271,46.3218,50.0,50.0,68.9463,43.638
4.7,58.4985,46.8336,50.0,50.0,68.0647,43.8194
4.8,58.0347,46.0159,50.0,50.0,67.1773,43.9692
4.9,57.001,45.8238,50.0,50.0,66.2857,44.092
