t,ev_x,ev_y,goal_x,goal_y,pursuer_x,pursuer_y
0.0,75.3648,78.7638,50.0,50.0,5.1019,11.3753
0.1,74.4385,78.5594,50.0,50.0,5.7484,12.0014
0.2,73.5012,78.1211,50.0,50.0,6.3947,12.6278
0.3,73.5779,77.2274,50.0,50.0,7.041,13.2541
0.4,72.8537,76.5359,50.0,50.0,7.6874,13.8803
0.5,72.1728,75.8776,50.0,50.0,8.3341,14.5063
0.6,71.9662,75.9084,50.0,50.0,8.981,15.132
0.7,71.0757,74.9692,50.0,50.0,9.6282,15.7574
0.8,70.9251,75.2018,50.0,50.0,10.2759,16.3823
0.9,69.4508,74.3875,50.0,50.0,10.924,17.0067
1.0,69.9662,73.519,50.0,50.0,11.5727,17.6306
1.1,68.5916,73.0743,50.0,50.0,12.222,18.2539
1.2,68.3735,72.0292,50.0,50.0,12.8718,18.8765
1.3,67.5378,71.7685,50.0,50.0,13.5224,19.4984
1.4,67.6257,70.8074,50.0,50.0,14.1736,20.1196
1.5,67.0269,70.0408,50.0,50.0,14.8256,20.74
1.6,66.5955,69.7865,50.0,50.0,15.4784,21.3596
1.7,65.7844,69.1295,50.0,50.0,16.132,21.9783
1.8,65.5874,68.7718,50.0,50.0,16.7865,22.5961
1.9,64.9727,67.974,50.0,50.0,17.4418,23.213
2.0,64.325,67.5037,50.0,50.0,18.0981,23.8288
2.1,63.8598,66.9079,50.0,50.0,18.7554,24.4436
2.2,63.1859,65.3573,50.0,50.0,19.4138,25.0573
2.3,63.0798,66.1281,50.0,50.0,20.0732,25.6698
2.4,62.3901,64.826,50.0,50.0,20.7337,26.2811
2.5,61.7065,64.2041,50.0,50.0,21.3954,26.8912
2.6,61.2427,63.2869,50.0,50.0,22.0583,27.4999
2.7,60.5726,62.7078,50.0,50.0,22.7225,28.1072
2.8,60.2927,62.3013,50.0,50.0,23.3881,28.713
2.9,59.8571,61.7211,50.0,50.0,24.0551,29.3173
3.0,59.4951,61.2207,50.0,50.0,24.7235,29.9199
3.1,59.3471,59.9708,50.0,50.0,25.3936,30.5208
3.2,57.9865,60.1932,50.0,50.0,26.0653,31.1198
3.3,58.4299,59.2311,50.0,50.0,26.7387,31.7168
3.4,57.1754,58.6207,50.0,50.0,27.414,32.3118
3.5,57.0527,57.9853,50.0,50.0,28.0913,32.9045
3.6,56.3483,57.3583,50.0,50.0,28.7707,33.4948
3.7,55.2535,56.9311,50.0,50.0,29.4523,34.0825
3.8,55.2773,56.6078,50.0,50.0,30.1363,34.6674
3.9,54.5843,55.4174,50.0,50.0,30.8229,35.2493
4.0,54.2774,55.0575,50.0,50.0,31.5122,35.8279
4.1,53.6838,54.3461,50.0,50.0,32.2045,36.403
4.2,53.4389,53.8616,50.0,50.0,32.9001,36.9741
4.3,53.1534,53.4667,50.0,50.0,33.5993,37.5408
4.4,52.2709,52.0278,50.0,50.0,34.3023,38.1027
4.5,51.745,52.0248,50.0,50.0,35.0097,38.6591
4.6,51.2989,51.5947,50.0,50.0,35.7219,39.2094
4.7,50.4265,50.9112,50.0,50.0,36.4395,39.7526
4.8,49.8694,50.633,50.0,50.0,37.1632,40.2876
4.9,49.1302,48.9006,50.0,50.0,37.8981,40.8072
