t,ev_x,ev_y,goal_x,goal_y,pursuer_x,pursuer_y
0.0,89.0809,54.34,50.0,50.0,52.7738,85.529
0.1,89.1724,53.7432,50.0,50.0,53.4527,84.9382
0.2,88.4719,54.6614,50.0,50.0,54.1301,84.3457
0.3,88.7799,54.7327,50.0,50.0,54.8062,83.7516
0.4,88.2221,54.6692,50.0,50.0,55.481,83.1561
0.5,87.9311,54.6607,50.0,50.0,56.1549,82.5596
0.6,88.148,54.4181,50.0,50.0,56.8281,81.9622
0.7,87.7932,54.4574,50.0,50.0,57.5008,81.3643
0.8,87.7651,54.5929,50.0,50.0,58.1731,80.7659
0.9,87.5961,54.9802,50.0,50.0,58.8452,80.1674
1.0,86.9279,55.0151,50.0,50.0,59.5173,79.5689
1.1,86.5831,54.4552,50.0,50.0,60.1896,78.9705
1.2,86.7817,54.9836,50.0,50.0,60.8621,78.3724
1.3,86.635,55.405,50.0,50.0,61.5349,77.7746
1.4,86.4175,55.5833,50.0,50.0,62.2081,77.1773
1.5,86.8192,55.4155,50.0,50.0,62.8819,76.5806
1.6,86.3505,55.2634,50.0,50.0,63.5561,75.9844
1.7,86.0221,55.4572,50.0,50.0,64.2308,75.3888
1.8,85.8685,56.0904,50.0,50.0,64.9062,74.7939
1.9,86.191,55.8597,50.0,50.0,65.5821,74.1997
2.0,85.7786,55.689,50.0,50.0,66.2586,73.6061
2.1,85.8712,56.0152,50.0,50.0,66.9356,73.0131
2.2,85.4467,56.9455,50.0,50.0,67.6131,72.4207
2.3,85.4892,56.9335,50.0,50.0,68.2911,71.8287
2.4,85.3626,57.108,50.0,50.0,68.9694,71.2372
2.5,84.5297,56.9269,50.0,50.0,69.648,70.646
2.6,84.6124,56.6145,50.0,50.0,70.3267,70.0549
2.7,84.9747,56.8028,50.0,50.0,71.0054,69.4639
2.8,84.9809,57.0788,50.0,50.0,71.684,68.8726
2.9,84.6206,57.7969,50.0,50.0,72.3621,68.2809
3.0,84.0886,57.5094,50.0,50.0,73.0397,67.6885
3.1,84.3507,58.0232,50.0,50.0,73.7163,67.0951
3.2,84.1483,57.9234,50.0,50.0,74.3916,66.5002
3.3,84.3092,57.9376,50.0,50.0,75.0652,65.9033
3.4,83.5401,57.836,50.0,50.0,75.7366,65.304
3.5,83.2326,57.6321,50.0,50.0,76.4051,64.7014
3.6,83.8463,58.2985,50.0,50.0,77.0699,64.0946
3.7,82.4187,57.7959,50.0,50.0,77.7298,63.4827
3.8,83.5224,58.1588,50.0,50.0,78.3834,62.864
3.9,83.0324,59.2562,50.0,50.0,79.0287,62.2366
4.0,82.6999,58.7372,50.0,50.0,79.6625,61.5976
4.1,82.6599,58.9324,50.0,50.0,80.28,60.9429
4.2,82.3583,58.3504,50.0,50.0,80.8722,60.2652
4.3,81.8913,58.5497,50.0,50.0,81.4186,59.55
4.4,82.0017,58.3129,50.0,50.0,81.8405,58.755
4.5,81.7794,58.5244,50.0,50.0,80.9776,59.0108
4.6,81.6488,59.0984,50.0,50.0,81.8139,58.6783
4.7,81.7,58.6508,50.0,50.0,80.9463,58.9174
4.8,81.2432,59.0115,50.0,50.0,81.5693,58.2679
4.9,80.8001,59.1694,50.0,50.0,80.8505,58.8095
