t,ev_x,ev_y,goal_x,goal_y,pursuer_x,pursuer_y
0.0,41.7478,10.8131,50.0,50.0,52.1287,7.9879
0.1,42.0135,11.4295,50.0,50.0,51.3018,8.3433
0.2,41.7026,12.1331,50.0,50.0,50.5003,8.7526
0.3,41.5739,12.7919,50.0,50.0,49.7226,9.2056
0.4,41.8629,14.4277,50.0,50.0,48.9667,9.6942
0.5,41.6085,14.2198,50.0,50.0,48.2343,10.2171
0.6,41.1947,14.8391,50.0,50.0,47.5318,10.7797
0.7,40.8203,16.2256,50.0,50.0,46.8702,11.3899
0.8,41.0535,16.8305,50.0,50.0,46.2616,12.0529
0.9,41.0774,17.3943,50.0,50.0,45.7195,12.7714
1.0,41.26,17.6974,50.0,50.0,45.259,13.5446
1.1,42.3627,18.6613,50.0,50.0,44.8935,14.367
1.2,43.0123,19.8959,50.0,50.0,44.6283,15.2271
1.3,43.15,20.1373,50.0,50.0,44.4487,16.109
1.4,43.9556,20.6493,50.0,50.0,44.3222,17.0
1.5,43.3795,21.6378,50.0,50.0,44.2112,17.8932
1.6,43.7107,22.2679,50.0,50.0,44.0844,18.7842
1.7,43.4343,23.7238,50.0,50.0,43.9324,19.6713
1.8,42.916,23.3046,50.0,50.0,43.7673,20.556
1.9,42.5017,24.9116,50.0,50.0,43.6189,21.4437
2.0,42.4795,25.0796,50.0,50.0,43.5205,22.3383
2.1,43.4611,26.3013,50.0,50.0,43.5012,23.2381
2.2,43.3447,27.2228,50.0,50.0,43.5873,24.134
2.3,44.1317,27.3994,50.0,50.0,43.7855,25.0119
2.4,44.8334,28.0059,50.0,50.0,44.0771,25.8633
2.5,45.7134,28.7259,50.0,50.0,44.4188,26.6959
2.6,44.9466,28.9062,50.0,50.0,44.7568,27.53
2.7,46.0764,30.6424,50.0,50.0,45.0459,28.3823
2.8,45.439,30.7028,50.0,50.0,45.2463,29.2597
2.9,45.9534,31.481,50.0,50.0,45.3388,30.155
3.0,45.3352,32.5524,50.0,50.0,45.3392,31.055
3.1,45.4557,33.2406,50.0,50.0,45.2985,31.9541
3.2,45.186,33.6083,50.0,50.0,45.2881,32.854
3.3,45.6512,35.137,50.0,50.0,45.3639,33.7508
3.4,45.4437,35.6216,50.0,50.0,45.5689,34.6271
3.5,46.1981,36.3963,50.0,50.0,45.9206,35.4556
3.6,46.1781,36.9578,50.0,50.0,46.3881,36.2247
3.7,46.8883,38.0188,50.0,50.0,46.9036,36.9624
3.8,47.6437,37.9501,50.0,50.0,47.384,37.7234
3.9,47.4941,38.621,50.0,50.0,47.7606,38.5408
4.0,48.3303,39.5527,50.0,50.0,47.9747,39.415
4.1,48.0366,39.961,50.0,50.0,47.9851,40.3149
4.2,47.8149,40.881,50.0,50.0,47.8341,41.2022
4.3,47.9722,41.2892,50.0,50.0,47.635,42.0799
4.4,47.5053,42.1398,50.0,50.0,47.5275,42.9734
4.5,47.8379,42.98,50.0,50.0,47.6073,43.8699
4.6,47.7527,44.0522,50.0,50.0,47.9148,44.7157
4.7,48.4578,44.9195,50.0,50.0,48.4454,45.4427
4.8,48.3879,45.3683,50.0,50.0,49.1029,46.0573
4.9,49.1023,45.7096,50.0,50.0,49.7481,46.6847
